Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7164,Discovery Kids: Dolphin Discovery,DS,2008.0,Simulation,505 Games,0.21,0.0,0.0,0.01,0.22
15834,LifeSigns: Surgical Unit,DS,2005.0,Simulation,JoWood Productions,0.01,0.01,0.0,0.0,0.02
11539,Sengoku Musou 3: Moushouden,Wii,2011.0,Action,Ackkstudios,0.0,0.0,0.08,0.0,0.08
593,LittleBigPlanet,PSP,2009.0,Platform,Sony Computer Entertainment,0.64,1.24,0.01,0.69,2.58
12211,Yoake Yori Ruriiro na: Brighter than Dawning Blue,PS2,2006.0,Adventure,Aria,0.0,0.0,0.07,0.0,0.07
8988,Guilty Gear X2 #Reload,XB,2004.0,Fighting,Zoo Digital Publishing,0.11,0.03,0.0,0.01,0.15
12733,Viewtiful Joe: Red Hot Rumble,GC,2005.0,Action,Capcom,0.04,0.01,0.0,0.0,0.06
16103,Konami Classics Vol. 2,X360,2009.0,Misc,Konami Digital Entertainment,0.01,0.0,0.0,0.0,0.01
14796,Captain Morgane and the Golden Turtle,PS3,2012.0,Adventure,Reef Entertainment,0.0,0.02,0.0,0.01,0.03
10249,Sakura Taisen Hanagumi Tsuushin,SAT,1997.0,Misc,Sega,0.0,0.0,0.11,0.0,0.11
2422,MLB 99,PS,1998.0,Sports,Sony Computer Entertainment,0.48,0.32,0.0,0.06,0.86
9967,de Blob 2,DS,2011.0,Platform,THQ,0.09,0.02,0.0,0.01,0.12
15933,Harukanaru Toki no Naka de 6,PSP,2015.0,Action,Tecmo Koei,0.0,0.0,0.02,0.0,0.02
2921,The Sims 3,DS,2010.0,Simulation,Electronic Arts,0.39,0.25,0.0,0.06,0.7
3965,The Mummy Returns,PS2,2001.0,Action,Universal Interactive,0.25,0.19,0.0,0.06,0.5
3654,Tatsunoko vs. Capcom: Ultimate All-Stars,Wii,2010.0,Fighting,Capcom,0.32,0.16,0.03,0.05,0.55
4081,Rayman Raving Rabbids: TV Party,DS,2008.0,Misc,Ubisoft,0.44,0.01,0.0,0.04,0.49
13460,Sotsugyou II: Neo Generation,PS,1995.0,Simulation,Riverhillsoft,0.0,0.0,0.04,0.0,0.04
4889,Dungeon Siege III,PS3,2011.0,Role-Playing,Square Enix,0.17,0.14,0.03,0.06,0.39
7267,Dead Island,PC,2011.0,Action,Deep Silver,0.12,0.07,0.0,0.03,0.22
15021,Kuusen II,PS2,2004.0,Simulation,Kadokawa Shoten,0.0,0.0,0.02,0.0,0.02
