Rank,Name,Platform,Genre,Publisher,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7,New Super Mario Bros.,DS,Platform,Nintendo,9.23,6.5,2.9,30.01
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,Platform,Nintendo,0.5,1.75,0.08,3.51
70,Gran Turismo 2,PS,Racing,Sony Computer Entertainment,3.42,1.69,0.5,9.49
1326,4 Nin uchi Mahjong,NES,Misc,Nintendo,0.0,1.45,0.0,1.45
1523,Romancing SaGa 3,SNES,Role-Playing,SquareSoft,0.0,1.29,0.01,1.3
1366,Inazuma Eleven 2,DS,Role-Playing,Nintendo,0.21,1.18,0.03,1.42
1574,Devil Dice,PS,Puzzle,THQ,0.03,1.1,0.08,1.26
721,Dissidia: Final Fantasy,PSP,Fighting,Square Enix,0.51,0.91,0.32,2.25
136,Super Mario Sunshine,GC,Platform,Nintendo,1.26,0.87,0.17,6.31
1640,Pac-Man,NES,Puzzle,Namco Bandai Games,0.08,0.85,0.02,1.22
425,Crisis Core: Final Fantasy VII,PSP,Role-Playing,Square Enix,0.6,0.8,0.44,3.19
639,Ice Hockey,NES,Sports,Nintendo,0.32,0.78,0.05,2.42
416,Tekken,PS,Fighting,Sony Computer Entertainment,1.3,0.77,0.22,3.24
2729,Final Fantasy Legend III,GB,Role-Playing,SquareSoft,0.0,0.76,0.0,0.76
2074,Dynasty Warriors 3: Xtreme Legends,PS2,Action,Tecmo Koei,0.1,0.74,0.03,1.0
1280,Nintendo World Cup,NES,Sports,Nintendo,0.5,0.65,0.05,1.48
297,Star Fox 64,N64,Shooter,Nintendo,0.58,0.64,0.04,4.03
1403,Paper Mario,N64,Role-Playing,Nintendo,0.18,0.59,0.02,1.38
3257,Warriors Orochi 3,PS3,Action,Ubisoft Annecy,0.04,0.57,0.01,0.62
3546,Super Bomberman,SNES,Puzzle,Hudson Soft,0.0,0.57,0.0,0.57
273,Gran Turismo 5 Prologue,PS3,Racing,Sony Computer Entertainment,1.83,0.57,0.53,4.2
3611,Fatal Fury Special,SNES,Fighting,Takara,0.0,0.56,0.0,0.56
640,pro evolution soccer 2011,PS3,Sports,Konami Digital Entertainment,1.18,0.54,0.41,2.42
2183,Wild ARMs,PS,Role-Playing,Sony Computer Entertainment,0.17,0.46,0.06,0.95
4310,Tales of Vesperia,PS3,Role-Playing,Namco Bandai Games,0.0,0.45,0.0,0.45
4095,Yu-Gi-Oh! Forbidden Memories (JP sales),PS,Role-Playing,Konami Digital Entertainment,0.0,0.45,0.03,0.48
2236,Castlevania II: Simon's Quest,NES,Platform,Konami Digital Entertainment,0.06,0.42,0.0,0.93
4769,Jikkyou Powerful Pro Yakuu '94,SNES,Sports,Konami Digital Entertainment,0.0,0.41,0.0,0.41
674,Donkey Kong Land II,GB,Platform,Nintendo,0.48,0.4,0.08,2.35
4849,Mother 3,GBA,Role-Playing,Nintendo,0.0,0.39,0.01,0.4
4956,From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,GB,Role-Playing,Banpresto,0.0,0.39,0.0,0.39
68,Call of Duty: Ghosts,PS3,Shooter,Activision,3.73,0.38,1.38,9.59
4994,SD Gundam G Generation Spirits,PS2,Strategy,Namco Bandai Games,0.0,0.38,0.0,0.38
2441,Castlevania III: Dracula's Curse,NES,Platform,Konami Digital Entertainment,0.07,0.37,0.01,0.85
4388,Samurai Warriors: Xtreme Legends,PS2,Action,Tecmo Koei,0.03,0.36,0.01,0.45
1550,Kid Icarus: Uprising,3DS,Action,Nintendo,0.35,0.36,0.07,1.28
5354,SD Gundam G Generation World,PSP,Strategy,Namco Bandai Games,0.0,0.34,0.0,0.34
5428,Persona 5,PS4,Role-Playing,Atlus,0.0,0.34,0.0,0.34
5667,Dragon Quest Monsters: Battle Road Victory,Wii,Strategy,Square Enix,0.0,0.32,0.0,0.32
4361,Samurai Warriors 3,Wii,Action,Nintendo,0.02,0.32,0.01,0.45
3478,Mega Man Star Force 2: Zerker x Ninja / Saurian,DS,Action,Capcom,0.0,0.31,0.02,0.58
4134,Dynasty Warriors Gundam,PS3,Action,Tecmo Koei,0.01,0.31,0.02,0.48
5719,Jikkyou Powerful Pro Yakyuu Portable 3,PSP,Sports,Konami Digital Entertainment,0.0,0.31,0.0,0.31
5906,Dragon Force,SAT,Strategy,Sega,0.0,0.3,0.0,0.3
6135,Digimon Adventure: Anode Tamer,WS,Role-Playing,Namco Bandai Games,0.0,0.28,0.0,0.28
6606,Doukyuusei if,SAT,Role-Playing,NEC,0.0,0.26,0.0,0.26
6372,Magical Vacation,GBA,Role-Playing,Nintendo,0.0,0.26,0.01,0.27
6551,Karaoke Joysound Wii,Wii,Misc,Hudson Soft,0.0,0.25,0.0,0.26
1273,Banjo-Tooie,N64,Platform,Nintendo,0.36,0.25,0.06,1.49
6773,Tales of Hearts,DS,Role-Playing,Namco Bandai Games,0.0,0.24,0.0,0.24
7277,DS Nishimura Kyotaro Suspense Shin Tantei Series: Kyoto Atami Zekkai no Kotou - Satsui no Wana,DS,Adventure,Tecmo Koei,0.0,0.22,0.0,0.22
7355,Gekijouban Macross F: Itsuwarino Utahime - Hybrid Pack,PS3,Action,Namco Bandai Games,0.0,0.21,0.0,0.21
891,Tetris DX,GB,Puzzle,Nintendo,0.6,0.2,0.07,1.93
